iter	Passed	Remaining
0	26	26288
1	55	27633
2	86	28900
3	119	29764
4	151	30109
5	175	29123
6	224	31872
7	258	32007
8	296	32665
9	321	31785
10	346	31189
11	369	30387
12	404	30687
13	428	30183
14	456	30003
15	481	29585
16	503	29100
17	533	29118
18	558	28849
19	588	28860
20	615	28683
21	641	28531
22	664	28246
23	689	28025
24	712	27776
25	735	27571
26	771	27804
27	797	27675
28	820	27461
29	852	27548
30	889	27797
31	1042	31549
32	1093	32041
33	1121	31872
34	1146	31610
35	1169	31303
36	1190	30989
37	1214	30755
38	1237	30493
39	1271	30518
40	1300	30407
41	1323	30190
42	1346	29977
43	1368	29731
44	1393	29577
45	1415	29353
46	1441	29234
47	1473	29216
48	1499	29098
49	1524	28961
50	1549	28835
51	1572	28668
52	1597	28545
53	1620	28394
54	1656	28459
55	1681	28338
56	1706	28236
57	1729	28087
58	1752	27949
59	1773	27777
60	1798	27689
61	1819	27521
62	1850	27521
63	1877	27456
64	1899	27326
65	1923	27214
66	1944	27084
67	1970	27002
68	1992	26883
69	2019	26835
70	2050	26833
71	2083	26856
72	2105	26736
73	2130	26662
74	2151	26532
75	2177	26469
76	2200	26379
77	2237	26450
78	2264	26400
79	2288	26315
80	2312	26241
81	2340	26205
82	2363	26113
83	2387	26034
84	2424	26095
85	2456	26112
86	2479	26018
87	2507	25985
88	2538	25984
89	2560	25887
90	2585	25827
91	2618	25839
92	2644	25793
93	2679	25823
94	2702	25741
95	2725	25663
96	2750	25602
97	2774	25537
98	2804	25527
99	2839	25552
100	2882	25655
101	2916	25679
102	2955	25742
103	2987	25737
104	3020	25744
105	3043	25672
106	3070	25628
107	3107	25666
108	3131	25596
109	3159	25560
110	3194	25581
111	3215	25497
112	3242	25448
113	3276	25461
114	3297	25378
115	3323	25330
116	3349	25277
117	3377	25243
118	3405	25214
119	3431	25163
120	3454	25097
121	3487	25095
122	3523	25123
123	3550	25081
124	3581	25070
125	3621	25119
126	3656	25135
127	3680	25070
128	3716	25092
129	3748	25087
130	3771	25020
131	3807	25038
132	3838	25024
133	3860	24948
134	3886	24901
135	3911	24852
136	3941	24826
137	3974	24825
138	3998	24768
139	4019	24693
140	4043	24634
141	4064	24557
142	4086	24488
143	4105	24404
144	4138	24405
145	4168	24380
146	4189	24311
147	4214	24259
148	4238	24209
149	4260	24145
150	4284	24091
151	4311	24055
152	4345	24056
153	4369	24002
154	4388	23926
155	4413	23880
156	4435	23817
157	4459	23767
158	4491	23758
159	4516	23714
160	4541	23666
161	4562	23601
162	4583	23534
163	4606	23479
164	4628	23425
165	4658	23402
166	4689	23391
167	4724	23395
168	4752	23366
169	4781	23347
170	4808	23313
171	4834	23273
172	4859	23229
173	4902	23273
174	4926	23224
175	4958	23216
176	4984	23177
177	5007	23126
178	5033	23085
179	5057	23040
180	5086	23014
181	5113	22981
182	5136	22932
183	5158	22875
184	5182	22831
185	5205	22778
186	5228	22731
187	5249	22674
188	5279	22652
189	5303	22608
190	5326	22560
191	5351	22519
192	5374	22471
193	5396	22418
194	5415	22356
195	5440	22318
196	5469	22295
197	5491	22244
198	5514	22197
199	5553	22213
200	5575	22163
201	5599	22121
202	5625	22087
203	5648	22039
204	5686	22054
205	5711	22013
206	5736	21974
207	5761	21936
208	5784	21891
209	5815	21876
210	5843	21852
211	5870	21818
212	5891	21769
213	5910	21710
214	5935	21672
215	5963	21645
216	5987	21603
217	6019	21591
218	6044	21557
219	6068	21514
220	6092	21474
221	6115	21432
222	6138	21387
223	6163	21350
224	6183	21299
225	6215	21287
226	6238	21242
227	6261	21202
228	6284	21158
229	6304	21106
230	6329	21072
231	6350	21023
232	6373	20979
233	6404	20964
234	6426	20921
235	6452	20889
236	6473	20841
237	6495	20798
238	6521	20763
239	6549	20740
240	6588	20750
241	6620	20736
242	6642	20694
243	6666	20653
244	6718	20704
245	6747	20682
246	6786	20687
247	6813	20660
248	6843	20641
249	6873	20620
250	6903	20599
251	6932	20576
252	6957	20543
253	6977	20492
254	7011	20484
255	7036	20449
256	7056	20401
257	7080	20362
258	7099	20312
259	7122	20271
260	7141	20221
261	7164	20181
262	7200	20176
263	7237	20178
264	7274	20177
265	7308	20167
266	7341	20155
267	7365	20118
268	7404	20122
269	7439	20114
270	7475	20108
271	7514	20112
272	7548	20101
273	7579	20083
274	7613	20072
275	7644	20053
276	7674	20032
277	7699	19995
278	7719	19949
279	7745	19916
280	7775	19894
281	7798	19855
282	7822	19819
283	7852	19796
284	7879	19768
285	7921	19775
286	7957	19769
287	7996	19769
288	8043	19789
289	8081	19786
290	8118	19779
291	8143	19744
292	8169	19712
293	8193	19674
294	8219	19642
295	8239	19596
296	8259	19550
297	8287	19522
298	8322	19511
299	8353	19490
300	8387	19477
301	8411	19440
302	8455	19449
303	8488	19433
304	8521	19417
305	8546	19383
306	8573	19352
307	8595	19313
308	8624	19286
309	8657	19270
310	8698	19270
311	8734	19261
312	8761	19229
313	8785	19194
314	8811	19162
315	8848	19153
316	8874	19120
317	8895	19078
318	8922	19046
319	8952	19023
320	8978	18991
321	9004	18960
322	9042	18952
323	9091	18968
324	9125	18952
325	9159	18936
326	9190	18915
327	9225	18900
328	9259	18885
329	9284	18850
330	9303	18803
331	9328	18769
332	9373	18776
333	9406	18756
334	9446	18751
335	9479	18734
336	9522	18734
337	9556	18717
338	9582	18683
339	9604	18643
340	9632	18615
341	9669	18603
342	9702	18584
343	9733	18561
344	9767	18544
345	9797	18518
346	9838	18515
347	9863	18479
348	9885	18439
349	9916	18415
350	9941	18382
351	9978	18370
352	10017	18361
353	10051	18342
354	10084	18321
355	10115	18299
356	10140	18264
357	10178	18253
358	10203	18219
359	10235	18195
360	10287	18210
361	10348	18238
362	10398	18247
363	10439	18240
364	10483	18237
365	10517	18218
366	10539	18177
367	10577	18165
368	10607	18139
369	10645	18126
370	10681	18109
371	10720	18098
